datetime,market,price,rsi,ma20,ma60,vwap,vol_pct,vol_ratio,drop_pct
2026-03-30 16:17:10,KRW-ONT,107.0,50.0,,,106.94,0.9434,1.0,
2026-03-30 16:17:25,KRW-ONT,107.0,50.0,106.95,,106.95,0.9434,1.0,-0.0468
2026-03-30 16:17:40,KRW-ONT,107.0,50.0,106.95,,106.96,0.9434,1.0,-0.0468
2026-03-30 16:17:55,KRW-ONT,106.0,23.48,106.9,,106.92,0.9434,1.0,0.8419
2026-03-30 16:18:10,KRW-ONT,106.0,37.32,106.85,,106.86,0.9434,1.0,0.7955
2026-03-30 16:18:25,KRW-ONT,106.0,37.32,106.7,,106.78,0.9434,1.0,0.656
2026-03-30 16:18:40,KRW-ONT,107.0,54.94,106.7,,106.8,0.9434,1.0,-0.2812
2026-03-30 16:18:55,KRW-ONT,108.0,66.66,106.85,,106.89,1.8868,1.0,-1.0763
2026-03-30 16:19:10,KRW-ONT,108.0,66.66,107.0,,106.98,1.8868,1.0,-0.9346
2026-03-30 16:19:25,KRW-ONT,108.0,59.62,107.1,,107.02,1.8868,1.0,-0.8403
2026-03-30 16:19:40,KRW-ONT,108.0,57.46,107.25,,107.04,1.8868,1.0,-0.6993
2026-03-30 16:19:55,KRW-ONT,107.0,47.46,107.35,,107.04,1.8868,1.0,0.326
2026-03-30 16:20:10,KRW-ONT,107.0,47.46,107.45,,107.04,1.8868,1.0,0.4188
2026-03-30 16:20:25,KRW-ONT,107.0,47.46,107.4,,107.04,1.8868,1.0,0.3724
2026-03-30 16:20:40,KRW-ONT,107.0,47.46,107.25,,107.03,1.8868,1.0,0.2331
2026-03-30 16:20:55,KRW-ONT,107.0,47.46,107.1,107.03,107.03,1.8868,1.0,0.0934
2026-03-30 16:21:10,KRW-ONT,108.0,66.53,107.15,107.07,107.06,1.8868,1.0,-0.7933
2026-03-30 16:21:26,KRW-ONT,108.0,66.53,107.25,107.13,107.1,1.8868,1.0,-0.6993
2026-03-30 16:21:41,KRW-ONT,108.0,66.53,107.4,107.18,107.14,1.8868,1.0,-0.5587
2026-03-30 16:22:44,KRW-ONT,108.0,55.93,,,107.47,0.9346,1.0,
2026-03-30 16:22:59,KRW-ONT,108.0,55.93,107.55,,107.55,0.9346,1.0,-0.4184
2026-03-30 16:23:14,KRW-ONT,108.0,55.93,107.7,,107.61,0.9346,1.0,-0.2786
2026-03-30 16:23:29,KRW-ONT,108.0,54.61,107.7,,107.62,0.9346,1.0,-0.2786
2026-03-30 16:23:44,KRW-ONT,108.0,54.61,107.8,,107.66,0.9346,1.0,-0.1855
2026-03-30 16:23:59,KRW-ONT,108.0,54.61,107.8,,107.69,0.9346,1.0,-0.1855
2026-03-30 16:24:14,KRW-ONT,107.0,41.13,107.9,,107.69,0.9346,1.0,0.8341
2026-03-30 16:24:29,KRW-ONT,108.0,54.23,107.85,,107.68,0.9346,1.0,-0.1391
2026-03-30 16:24:44,KRW-ONT,107.0,42.44,107.75,,107.66,0.9346,1.0,0.6961
2026-03-30 16:24:59,KRW-ONT,108.0,53.35,107.7,,107.66,0.9346,1.0,-0.2786
2026-03-30 16:25:14,KRW-ONT,108.0,53.35,107.75,,107.68,0.9346,1.0,-0.232
2026-03-30 16:25:29,KRW-ONT,108.0,53.35,107.75,,107.7,0.9346,1.0,-0.232
